Direction,P CW,SE,Coherence,Subject
-19.5,0.017,0.011,0.13,D
-15.5,0.065,0.022,0.13,D
-11.5,0.108,0.029,0.13,D
-7.5,0.252,0.039,0.13,D
-3.5,0.327,0.045,0.13,D
0.5,0.450,0.044,0.13,D
4.5,0.696,0.044,0.13,D
8.5,0.855,0.031,0.13,D
12.5,0.933,0.021,0.13,D
16.5,0.969,0.016,0.13,D
20.5,0.992,0.008,0.13,D
-19.5,0.015,0.010,0.25,D
-15.5,0.030,0.016,0.25,D
-11.5,0.067,0.023,0.25,D
-7.5,0.105,0.028,0.25,D
-3.5,0.271,0.038,0.25,D
0.5,0.440,0.046,0.25,D
4.5,0.818,0.034,0.25,D
8.5,0.868,0.031,0.25,D
12.5,0.940,0.023,0.25,D
16.5,1.000,0.000,0.25,D
20.5,1.000,0.000,0.25,D
-19.5,0.169,0.030,0.04,E
-15.5,0.136,0.027,0.04,E
-11.5,0.214,0.033,0.04,E
-7.5,0.290,0.039,0.04,E
-3.5,0.413,0.044,0.04,E
0.5,0.474,0.043,0.04,E
4.5,0.586,0.044,0.04,E
8.5,0.681,0.039,0.04,E
12.5,0.682,0.037,0.04,E
16.5,0.791,0.036,0.04,E
20.5,0.831,0.033,0.04,E
-19.5,0.101,0.026,0.07,E
-15.5,0.103,0.026,0.07,E
-11.5,0.129,0.030,0.07,E
-7.5,0.222,0.035,0.07,E
-3.5,0.307,0.040,0.07,E
0.5,0.469,0.042,0.07,E
4.5,0.634,0.038,0.07,E
8.5,0.755,0.034,0.07,E
12.5,0.748,0.038,0.07,E
16.5,0.865,0.028,0.07,E
20.5,0.910,0.023,0.07,E
-19.5,0.039,0.016,0.13,E
-15.5,0.036,0.016,0.13,E
-11.5,0.066,0.021,0.13,E
-7.5,0.131,0.029,0.13,E
-3.5,0.287,0.037,0.13,E
0.5,0.477,0.040,0.13,E
4.5,0.642,0.042,0.13,E
8.5,0.843,0.032,0.13,E
12.5,0.936,0.021,0.13,E
16.5,0.953,0.018,0.13,E
20.5,0.978,0.012,0.13,E
-19.5,0,0,0.25,E
-15.5,0.020,0.011,0.25,E
-11.5,0.035,0.015,0.25,E
-7.5,0.066,0.020,0.25,E
-3.5,0.217,0.033,0.25,E
0.5,0.407,0.042,0.25,E
4.5,0.752,0.035,0.25,E
8.5,0.888,0.027,0.25,E
12.5,0.946,0.019,0.25,E
16.5,0.974,0.013,0.25,E
20.5,1,0,0.25,E
-19.5,0.446,0.043,0.04,F
-15.5,0.486,0.044,0.04,F
-11.5,0.577,0.042,0.04,F
-7.5,0.532,0.047,0.04,F
-3.5,0.559,0.045,0.04,F
0.5,0.593,0.045,0.04,F
4.5,0.595,0.041,0.04,F
8.5,0.565,0.045,0.04,F
12.5,0.612,0.041,0.04,F
16.5,0.615,0.042,0.04,F
20.5,0.684,0.038,0.04,F
-19.5,0.378,0.041,0.07,F
-15.5,0.518,0.042,0.07,F
-11.5,0.397,0.040,0.07,F
-7.5,0.470,0.044,0.07,F
-3.5,0.500,0.043,0.07,F
0.5,0.528,0.045,0.07,F
4.5,0.597,0.044,0.07,F
8.5,0.664,0.039,0.07,F
12.5,0.707,0.038,0.07,F
16.5,0.621,0.041,0.07,F
20.5,0.678,0.043,0.07,F
-19.5,0.272,0.039,0.13,F
-15.5,0.276,0.038,0.13,F
-11.5,0.375,0.042,0.13,F
-7.5,0.489,0.041,0.13,F
-3.5,0.446,0.043,0.13,F
0.5,0.577,0.042,0.13,F
4.5,0.602,0.043,0.13,F
8.5,0.611,0.042,0.13,F
12.5,0.727,0.040,0.13,F
16.5,0.746,0.039,0.13,F
20.5,0.805,0.034,0.13,F
-19.5,0.178,0.033,0.25,F
-15.5,0.203,0.036,0.25,F
-11.5,0.276,0.041,0.25,F
-7.5,0.281,0.037,0.25,F
-3.5,0.457,0.041,0.25,F
0.5,0.543,0.039,0.25,F
4.5,0.626,0.041,0.25,F
8.5,0.738,0.039,0.25,F
12.5,0.779,0.038,0.25,F
16.5,0.857,0.030,0.25,F
20.5,0.852,0.031,0.25,F
